context: Auntie, are you really going to marry the Crown Prince? response:	I have to marry him sooner or later.
context: Die Yong had a tough night yesterday\so I investigated with my soul-tracking magic.\I found out that Mo Yuan's spirit isn't residing in Die Yong's body anymore.\That's why I rushed back here to check on Yanhua Cave.\Mo Yuan has been asleep for so long.\He's finally picked a good day to wake up.\Master...\Master is going to wake up? response:	Crown Prince.
context: so I investigated with my soul-tracking magic.\I found out that Mo Yuan's spirit isn't residing in Die Yong's body anymore.\That's why I rushed back here to check on Yanhua Cave.\Mo Yuan has been asleep for so long.\He's finally picked a good day to wake up.\Master...\Master is going to wake up?\Crown Prince. response:	According to the regulations before I take you to the Mortal Realm
context: I found out that Mo Yuan's spirit isn't residing in Die Yong's body anymore.\That's why I rushed back here to check on Yanhua Cave.\Mo Yuan has been asleep for so long.\He's finally picked a good day to wake up.\Master...\Master is going to wake up?\Crown Prince.\According to the regulations before I take you to the Mortal Realm response:	you'll have to drink the amnesia potion from the River of Oblivion.
context: That's why I rushed back here to check on Yanhua Cave.\Mo Yuan has been asleep for so long.\He's finally picked a good day to wake up.\Master...\Master is going to wake up?\Crown Prince.\According to the regulations before I take you to the Mortal Realm\you'll have to drink the amnesia potion from the River of Oblivion. response:	Then... it's a deal?
context: Mo Yuan has been asleep for so long.\He's finally picked a good day to wake up.\Master...\Master is going to wake up?\Crown Prince.\According to the regulations before I take you to the Mortal Realm\you'll have to drink the amnesia potion from the River of Oblivion.\Then... it's a deal? response:	You'll come to look for me in Qing Qiu when you return.
context: He's finally picked a good day to wake up.\Master...\Master is going to wake up?\Crown Prince.\According to the regulations before I take you to the Mortal Realm\you'll have to drink the amnesia potion from the River of Oblivion.\Then... it's a deal?\You'll come to look for me in Qing Qiu when you return. response:	We won't abide by the wedding rituals.
context: Master...\Master is going to wake up?\Crown Prince.\According to the regulations before I take you to the Mortal Realm\you'll have to drink the amnesia potion from the River of Oblivion.\Then... it's a deal?\You'll come to look for me in Qing Qiu when you return.\We won't abide by the wedding rituals. response:	We'll just go along with Qing Qiu's customs.
context: Master is going to wake up?\Crown Prince.\According to the regulations before I take you to the Mortal Realm\you'll have to drink the amnesia potion from the River of Oblivion.\Then... it's a deal?\You'll come to look for me in Qing Qiu when you return.\We won't abide by the wedding rituals.\We'll just go along with Qing Qiu's customs. response:	I'll lock you back in my Fox Den.
context: Crown Prince.\According to the regulations before I take you to the Mortal Realm\you'll have to drink the amnesia potion from the River of Oblivion.\Then... it's a deal?\You'll come to look for me in Qing Qiu when you return.\We won't abide by the wedding rituals.\We'll just go along with Qing Qiu's customs.\I'll lock you back in my Fox Den. response:	Qian Qian...
context: According to the regulations before I take you to the Mortal Realm\you'll have to drink the amnesia potion from the River of Oblivion.\Then... it's a deal?\You'll come to look for me in Qing Qiu when you return.\We won't abide by the wedding rituals.\We'll just go along with Qing Qiu's customs.\I'll lock you back in my Fox Den.\Qian Qian... response:	Await my return.
context: you'll have to drink the amnesia potion from the River of Oblivion.\Then... it's a deal?\You'll come to look for me in Qing Qiu when you return.\We won't abide by the wedding rituals.\We'll just go along with Qing Qiu's customs.\I'll lock you back in my Fox Den.\Qian Qian...\Await my return. response:	What are you doing?
context: Then... it's a deal?\You'll come to look for me in Qing Qiu when you return.\We won't abide by the wedding rituals.\We'll just go along with Qing Qiu's customs.\I'll lock you back in my Fox Den.\Qian Qian...\Await my return.\What are you doing? response:	I want to put on my male disguise.
context: You'll come to look for me in Qing Qiu when you return.\We won't abide by the wedding rituals.\We'll just go along with Qing Qiu's customs.\I'll lock you back in my Fox Den.\Qian Qian...\Await my return.\What are you doing?\I want to put on my male disguise. response:	After all, my mentor used to see me as Si Yin in the past.
context: We won't abide by the wedding rituals.\We'll just go along with Qing Qiu's customs.\I'll lock you back in my Fox Den.\Qian Qian...\Await my return.\What are you doing?\I want to put on my male disguise.\After all, my mentor used to see me as Si Yin in the past. response:	He probably wouldn't recognize me.
context: We'll just go along with Qing Qiu's customs.\I'll lock you back in my Fox Den.\Qian Qian...\Await my return.\What are you doing?\I want to put on my male disguise.\After all, my mentor used to see me as Si Yin in the past.\He probably wouldn't recognize me. response:	With Mo Yuan's cultivation, he long knew that you're a girl.
context: I'll lock you back in my Fox Den.\Qian Qian...\Await my return.\What are you doing?\I want to put on my male disguise.\After all, my mentor used to see me as Si Yin in the past.\He probably wouldn't recognize me.\With Mo Yuan's cultivation, he long knew that you're a girl. response:	He didn't expose your identity because of your parents.
context: Qian Qian...\Await my return.\What are you doing?\I want to put on my male disguise.\After all, my mentor used to see me as Si Yin in the past.\He probably wouldn't recognize me.\With Mo Yuan's cultivation, he long knew that you're a girl.\He didn't expose your identity because of your parents. response:	Did you really think you fooled him for 20,000 years?
context: Await my return.\What are you doing?\I want to put on my male disguise.\After all, my mentor used to see me as Si Yin in the past.\He probably wouldn't recognize me.\With Mo Yuan's cultivation, he long knew that you're a girl.\He didn't expose your identity because of your parents.\Did you really think you fooled him for 20,000 years? response:	Fourth Brother said that to me as well.
context: What are you doing?\I want to put on my male disguise.\After all, my mentor used to see me as Si Yin in the past.\He probably wouldn't recognize me.\With Mo Yuan's cultivation, he long knew that you're a girl.\He didn't expose your identity because of your parents.\Did you really think you fooled him for 20,000 years?\Fourth Brother said that to me as well. response:	But I still think that Master is used to seeing me as Si Yin.
context: I want to put on my male disguise.\After all, my mentor used to see me as Si Yin in the past.\He probably wouldn't recognize me.\With Mo Yuan's cultivation, he long knew that you're a girl.\He didn't expose your identity because of your parents.\Did you really think you fooled him for 20,000 years?\Fourth Brother said that to me as well.\But I still think that Master is used to seeing me as Si Yin. response:	Stop fooling yourself.
context: After all, my mentor used to see me as Si Yin in the past.\He probably wouldn't recognize me.\With Mo Yuan's cultivation, he long knew that you're a girl.\He didn't expose your identity because of your parents.\Did you really think you fooled him for 20,000 years?\Fourth Brother said that to me as well.\But I still think that Master is used to seeing me as Si Yin.\Stop fooling yourself. response:	Go ahead.
context: He probably wouldn't recognize me.\With Mo Yuan's cultivation, he long knew that you're a girl.\He didn't expose your identity because of your parents.\Did you really think you fooled him for 20,000 years?\Fourth Brother said that to me as well.\But I still think that Master is used to seeing me as Si Yin.\Stop fooling yourself.\Go ahead. response:	Don't be scared. Go and take a look at your mentor.
context: With Mo Yuan's cultivation, he long knew that you're a girl.\He didn't expose your identity because of your parents.\Did you really think you fooled him for 20,000 years?\Fourth Brother said that to me as well.\But I still think that Master is used to seeing me as Si Yin.\Stop fooling yourself.\Go ahead.\Don't be scared. Go and take a look at your mentor. response:	It's been 70,000 years.
context: He didn't expose your identity because of your parents.\Did you really think you fooled him for 20,000 years?\Fourth Brother said that to me as well.\But I still think that Master is used to seeing me as Si Yin.\Stop fooling yourself.\Go ahead.\Don't be scared. Go and take a look at your mentor.\It's been 70,000 years. response:	Between the Four Seas and the Six Realms
context: Did you really think you fooled him for 20,000 years?\Fourth Brother said that to me as well.\But I still think that Master is used to seeing me as Si Yin.\Stop fooling yourself.\Go ahead.\Don't be scared. Go and take a look at your mentor.\It's been 70,000 years.\Between the Four Seas and the Six Realms response:	I've looked at the lakes of Qing Qiu 779 times.
