context: Huh? response:	Doesn't it seem more crowded than usual?
context: I don't think things are like what you think they are.\Oh man, that's amazing.\You're not that much older than me.\I'm ashamed of myself for letting my imagination run wild and poking my nose into this.\Emi, you should've just said so from the start.\I did, but you paid no heed to me.\My family runs a small factory,\and whenever we were in real trouble, we all worked together to get through it. response:	You called yourself pathetic earlier,
context: Oh man, that's amazing.\You're not that much older than me.\I'm ashamed of myself for letting my imagination run wild and poking my nose into this.\Emi, you should've just said so from the start.\I did, but you paid no heed to me.\My family runs a small factory,\and whenever we were in real trouble, we all worked together to get through it.\You called yourself pathetic earlier, response:	but this Maou eats the food you make,
context: You're not that much older than me.\I'm ashamed of myself for letting my imagination run wild and poking my nose into this.\Emi, you should've just said so from the start.\I did, but you paid no heed to me.\My family runs a small factory,\and whenever we were in real trouble, we all worked together to get through it.\You called yourself pathetic earlier,\but this Maou eats the food you make, response:	sleeps on the mattress you air out, and puts on underwear that you wash, right?
context: I'm ashamed of myself for letting my imagination run wild and poking my nose into this.\Emi, you should've just said so from the start.\I did, but you paid no heed to me.\My family runs a small factory,\and whenever we were in real trouble, we all worked together to get through it.\You called yourself pathetic earlier,\but this Maou eats the food you make,\sleeps on the mattress you air out, and puts on underwear that you wash, right? response:	Yeah...
context: Emi, you should've just said so from the start.\I did, but you paid no heed to me.\My family runs a small factory,\and whenever we were in real trouble, we all worked together to get through it.\You called yourself pathetic earlier,\but this Maou eats the food you make,\sleeps on the mattress you air out, and puts on underwear that you wash, right?\Yeah... response:	That means you're supporting everyone.
context: I did, but you paid no heed to me.\My family runs a small factory,\and whenever we were in real trouble, we all worked together to get through it.\You called yourself pathetic earlier,\but this Maou eats the food you make,\sleeps on the mattress you air out, and puts on underwear that you wash, right?\Yeah...\That means you're supporting everyone. response:	You should be more proud of yourself.
context: My family runs a small factory,\and whenever we were in real trouble, we all worked together to get through it.\You called yourself pathetic earlier,\but this Maou eats the food you make,\sleeps on the mattress you air out, and puts on underwear that you wash, right?\Yeah...\That means you're supporting everyone.\You should be more proud of yourself. response:	You guys are close enough to help each other out like that,
context: and whenever we were in real trouble, we all worked together to get through it.\You called yourself pathetic earlier,\but this Maou eats the food you make,\sleeps on the mattress you air out, and puts on underwear that you wash, right?\Yeah...\That means you're supporting everyone.\You should be more proud of yourself.\You guys are close enough to help each other out like that, response:	so I'm sure things'll go well for you!
context: You called yourself pathetic earlier,\but this Maou eats the food you make,\sleeps on the mattress you air out, and puts on underwear that you wash, right?\Yeah...\That means you're supporting everyone.\You should be more proud of yourself.\You guys are close enough to help each other out like that,\so I'm sure things'll go well for you! response:	You're the first person to say anything like that.
context: but this Maou eats the food you make,\sleeps on the mattress you air out, and puts on underwear that you wash, right?\Yeah...\That means you're supporting everyone.\You should be more proud of yourself.\You guys are close enough to help each other out like that,\so I'm sure things'll go well for you!\You're the first person to say anything like that. response:	Thanks for the encouragement. I feel a little better now.
context: sleeps on the mattress you air out, and puts on underwear that you wash, right?\Yeah...\That means you're supporting everyone.\You should be more proud of yourself.\You guys are close enough to help each other out like that,\so I'm sure things'll go well for you!\You're the first person to say anything like that.\Thanks for the encouragement. I feel a little better now. response:	Rika?
context: Yeah...\That means you're supporting everyone.\You should be more proud of yourself.\You guys are close enough to help each other out like that,\so I'm sure things'll go well for you!\You're the first person to say anything like that.\Thanks for the encouragement. I feel a little better now.\Rika? response:	Wh-What?!
context: That means you're supporting everyone.\You should be more proud of yourself.\You guys are close enough to help each other out like that,\so I'm sure things'll go well for you!\You're the first person to say anything like that.\Thanks for the encouragement. I feel a little better now.\Rika?\Wh-What?! response:	That's what I wanna ask.
context: You should be more proud of yourself.\You guys are close enough to help each other out like that,\so I'm sure things'll go well for you!\You're the first person to say anything like that.\Thanks for the encouragement. I feel a little better now.\Rika?\Wh-What?!\That's what I wanna ask. response:	What's gotten into you?
context: You guys are close enough to help each other out like that,\so I'm sure things'll go well for you!\You're the first person to say anything like that.\Thanks for the encouragement. I feel a little better now.\Rika?\Wh-What?!\That's what I wanna ask.\What's gotten into you? response:	N-Nothing! Nothing! Nothing! Nothing!
context: so I'm sure things'll go well for you!\You're the first person to say anything like that.\Thanks for the encouragement. I feel a little better now.\Rika?\Wh-What?!\That's what I wanna ask.\What's gotten into you?\N-Nothing! Nothing! Nothing! Nothing! response:	N-Nothing! Nothing! Nothing! Nothing!
context: You're the first person to say anything like that.\Thanks for the encouragement. I feel a little better now.\Rika?\Wh-What?!\That's what I wanna ask.\What's gotten into you?\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing! response:	N-Nothing! Nothing! Nothing! Nothing!
context: Thanks for the encouragement. I feel a little better now.\Rika?\Wh-What?!\That's what I wanna ask.\What's gotten into you?\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing! response:	N-Nothing! Nothing! Nothing! Nothing!
context: Rika?\Wh-What?!\That's what I wanna ask.\What's gotten into you?\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing! response:	She said it four times...
context: Wh-What?!\That's what I wanna ask.\What's gotten into you?\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\She said it four times... response:	But yeah...
context: That's what I wanna ask.\What's gotten into you?\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\She said it four times...\But yeah... response:	I guess everyone has their own history.
context: What's gotten into you?\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\She said it four times...\But yeah...\I guess everyone has their own history. response:	Anyway, that cleared up your misunderstanding, right?
context: N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\She said it four times...\But yeah...\I guess everyone has their own history.\Anyway, that cleared up your misunderstanding, right? response:	Let's go
context: N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\She said it four times...\But yeah...\I guess everyone has their own history.\Anyway, that cleared up your misunderstanding, right?\Let's go response:	Now I kinda wanna see this Maou guy for personal reasons.
context: N-Nothing! Nothing! Nothing! Nothing!\N-Nothing! Nothing! Nothing! Nothing!\She said it four times...\But yeah...\I guess everyone has their own history.\Anyway, that cleared up your misunderstanding, right?\Let's go\Now I kinda wanna see this Maou guy for personal reasons. response:	You what?
context: N-Nothing! Nothing! Nothing! Nothing!\She said it four times...\But yeah...\I guess everyone has their own history.\Anyway, that cleared up your misunderstanding, right?\Let's go\Now I kinda wanna see this Maou guy for personal reasons.\You what? response:	If he has real talent, then I should get to know him for the sake of my own future as well.
context: She said it four times...\But yeah...\I guess everyone has their own history.\Anyway, that cleared up your misunderstanding, right?\Let's go\Now I kinda wanna see this Maou guy for personal reasons.\You what?\If he has real talent, then I should get to know him for the sake of my own future as well. response:	Hey, what are you
context: But yeah...\I guess everyone has their own history.\Anyway, that cleared up your misunderstanding, right?\Let's go\Now I kinda wanna see this Maou guy for personal reasons.\You what?\If he has real talent, then I should get to know him for the sake of my own future as well.\Hey, what are you response:	You have your scouting report to make too, don't you?
context: I guess everyone has their own history.\Anyway, that cleared up your misunderstanding, right?\Let's go\Now I kinda wanna see this Maou guy for personal reasons.\You what?\If he has real talent, then I should get to know him for the sake of my own future as well.\Hey, what are you\You have your scouting report to make too, don't you? response:	How about we head over together?
context: Anyway, that cleared up your misunderstanding, right?\Let's go\Now I kinda wanna see this Maou guy for personal reasons.\You what?\If he has real talent, then I should get to know him for the sake of my own future as well.\Hey, what are you\You have your scouting report to make too, don't you?\How about we head over together? response:	Hey, Rika!
context: Let's go\Now I kinda wanna see this Maou guy for personal reasons.\You what?\If he has real talent, then I should get to know him for the sake of my own future as well.\Hey, what are you\You have your scouting report to make too, don't you?\How about we head over together?\Hey, Rika! response:	You're coming too, obviously.
context: Now I kinda wanna see this Maou guy for personal reasons.\You what?\If he has real talent, then I should get to know him for the sake of my own future as well.\Hey, what are you\You have your scouting report to make too, don't you?\How about we head over together?\Hey, Rika!\You're coming too, obviously. response:	Anyway, get me a maple biscuit and salad to go.
context: You what?\If he has real talent, then I should get to know him for the sake of my own future as well.\Hey, what are you\You have your scouting report to make too, don't you?\How about we head over together?\Hey, Rika!\You're coming too, obviously.\Anyway, get me a maple biscuit and salad to go. response:	H-Hey
context: If he has real talent, then I should get to know him for the sake of my own future as well.\Hey, what are you\You have your scouting report to make too, don't you?\How about we head over together?\Hey, Rika!\You're coming too, obviously.\Anyway, get me a maple biscuit and salad to go.\H-Hey response:	I must thank Kamazuki for all she's done for us too.
context: Hey, what are you\You have your scouting report to make too, don't you?\How about we head over together?\Hey, Rika!\You're coming too, obviously.\Anyway, get me a maple biscuit and salad to go.\H-Hey\I must thank Kamazuki for all she's done for us too. response:	I'll foot the bill.
context: You have your scouting report to make too, don't you?\How about we head over together?\Hey, Rika!\You're coming too, obviously.\Anyway, get me a maple biscuit and salad to go.\H-Hey\I must thank Kamazuki for all she's done for us too.\I'll foot the bill. response:	Argh...
context: How about we head over together?\Hey, Rika!\You're coming too, obviously.\Anyway, get me a maple biscuit and salad to go.\H-Hey\I must thank Kamazuki for all she's done for us too.\I'll foot the bill.\Argh... response:	Why'd it end up like this?!
context: Hey, Rika!\You're coming too, obviously.\Anyway, get me a maple biscuit and salad to go.\H-Hey\I must thank Kamazuki for all she's done for us too.\I'll foot the bill.\Argh...\Why'd it end up like this?! response:	Eye Catch
context: You're coming too, obviously.\Anyway, get me a maple biscuit and salad to go.\H-Hey\I must thank Kamazuki for all she's done for us too.\I'll foot the bill.\Argh...\Why'd it end up like this?!\Eye Catch response:	Part B
context: Anyway, get me a maple biscuit and salad to go.\H-Hey\I must thank Kamazuki for all she's done for us too.\I'll foot the bill.\Argh...\Why'd it end up like this?!\Eye Catch\Part B response:	Things are getting worse and worse.
context: H-Hey\I must thank Kamazuki for all she's done for us too.\I'll foot the bill.\Argh...\Why'd it end up like this?!\Eye Catch\Part B\Things are getting worse and worse. response:	Now, now, miss.
context: I must thank Kamazuki for all she's done for us too.\I'll foot the bill.\Argh...\Why'd it end up like this?!\Eye Catch\Part B\Things are getting worse and worse.\Now, now, miss. response:	Don't make that face.
context: I'll foot the bill.\Argh...\Why'd it end up like this?!\Eye Catch\Part B\Things are getting worse and worse.\Now, now, miss.\Don't make that face. response:	It'll make your food taste most foul.
context: Argh...\Why'd it end up like this?!\Eye Catch\Part B\Things are getting worse and worse.\Now, now, miss.\Don't make that face.\It'll make your food taste most foul. response:	Thanks for the warning.
context: Why'd it end up like this?!\Eye Catch\Part B\Things are getting worse and worse.\Now, now, miss.\Don't make that face.\It'll make your food taste most foul.\Thanks for the warning. response:	No matter how much one worries,
