context: This baby came very strangely. response:	In just a few days, it's ready for birth.
context: Do you have that much to worry about?\Aunt, something big has happened.\What happened?\Forget it. Come here, Aunt.\Mi Gu, what happened? Tell me quickly.\Sang Ji came to the Fox Den.\Then I'll keep going to the mountain pass.\No, Aunt. response:	Even if you can hide away for a month, you couldn't possibly do it for a year.
context: Aunt, something big has happened.\What happened?\Forget it. Come here, Aunt.\Mi Gu, what happened? Tell me quickly.\Sang Ji came to the Fox Den.\Then I'll keep going to the mountain pass.\No, Aunt.\Even if you can hide away for a month, you couldn't possibly do it for a year. response:	Your marriage to the second prince was arranged by Heavenly Lord and Fox King.
context: What happened?\Forget it. Come here, Aunt.\Mi Gu, what happened? Tell me quickly.\Sang Ji came to the Fox Den.\Then I'll keep going to the mountain pass.\No, Aunt.\Even if you can hide away for a month, you couldn't possibly do it for a year.\Your marriage to the second prince was arranged by Heavenly Lord and Fox King. response:	You'll have to marry him eventually.
context: Forget it. Come here, Aunt.\Mi Gu, what happened? Tell me quickly.\Sang Ji came to the Fox Den.\Then I'll keep going to the mountain pass.\No, Aunt.\Even if you can hide away for a month, you couldn't possibly do it for a year.\Your marriage to the second prince was arranged by Heavenly Lord and Fox King.\You'll have to marry him eventually. response:	The second prince came to Fox Den to see you.
context: Mi Gu, what happened? Tell me quickly.\Sang Ji came to the Fox Den.\Then I'll keep going to the mountain pass.\No, Aunt.\Even if you can hide away for a month, you couldn't possibly do it for a year.\Your marriage to the second prince was arranged by Heavenly Lord and Fox King.\You'll have to marry him eventually.\The second prince came to Fox Den to see you. response:	That's a given.
context: Sang Ji came to the Fox Den.\Then I'll keep going to the mountain pass.\No, Aunt.\Even if you can hide away for a month, you couldn't possibly do it for a year.\Your marriage to the second prince was arranged by Heavenly Lord and Fox King.\You'll have to marry him eventually.\The second prince came to Fox Den to see you.\That's a given. response:	Life is unpredictable.
context: Then I'll keep going to the mountain pass.\No, Aunt.\Even if you can hide away for a month, you couldn't possibly do it for a year.\Your marriage to the second prince was arranged by Heavenly Lord and Fox King.\You'll have to marry him eventually.\The second prince came to Fox Den to see you.\That's a given.\Life is unpredictable. response:	I could die and vanish in a few days.
context: No, Aunt.\Even if you can hide away for a month, you couldn't possibly do it for a year.\Your marriage to the second prince was arranged by Heavenly Lord and Fox King.\You'll have to marry him eventually.\The second prince came to Fox Den to see you.\That's a given.\Life is unpredictable.\I could die and vanish in a few days. response:	I have to waste my time serving him?
context: Even if you can hide away for a month, you couldn't possibly do it for a year.\Your marriage to the second prince was arranged by Heavenly Lord and Fox King.\You'll have to marry him eventually.\The second prince came to Fox Den to see you.\That's a given.\Life is unpredictable.\I could die and vanish in a few days.\I have to waste my time serving him? response:	Why should I suffer like that?
context: Your marriage to the second prince was arranged by Heavenly Lord and Fox King.\You'll have to marry him eventually.\The second prince came to Fox Den to see you.\That's a given.\Life is unpredictable.\I could die and vanish in a few days.\I have to waste my time serving him?\Why should I suffer like that? response:	Aunt, if you don't want to marry, then don't.
context: You'll have to marry him eventually.\The second prince came to Fox Den to see you.\That's a given.\Life is unpredictable.\I could die and vanish in a few days.\I have to waste my time serving him?\Why should I suffer like that?\Aunt, if you don't want to marry, then don't. response:	Why are you cursing yourself?
context: The second prince came to Fox Den to see you.\That's a given.\Life is unpredictable.\I could die and vanish in a few days.\I have to waste my time serving him?\Why should I suffer like that?\Aunt, if you don't want to marry, then don't.\Why are you cursing yourself? response:	I won't talk about this anymore.
context: That's a given.\Life is unpredictable.\I could die and vanish in a few days.\I have to waste my time serving him?\Why should I suffer like that?\Aunt, if you don't want to marry, then don't.\Why are you cursing yourself?\I won't talk about this anymore. response:	Mi Gu, you and Shao Xing take care of that person at Fox Den.
context: Life is unpredictable.\I could die and vanish in a few days.\I have to waste my time serving him?\Why should I suffer like that?\Aunt, if you don't want to marry, then don't.\Why are you cursing yourself?\I won't talk about this anymore.\Mi Gu, you and Shao Xing take care of that person at Fox Den. response:	I'll go hide for a bit in the Peach Tree Woods.
context: I could die and vanish in a few days.\I have to waste my time serving him?\Why should I suffer like that?\Aunt, if you don't want to marry, then don't.\Why are you cursing yourself?\I won't talk about this anymore.\Mi Gu, you and Shao Xing take care of that person at Fox Den.\I'll go hide for a bit in the Peach Tree Woods. response:	Aunt, he is the second prince of the Celestial Tribe after all.
context: I have to waste my time serving him?\Why should I suffer like that?\Aunt, if you don't want to marry, then don't.\Why are you cursing yourself?\I won't talk about this anymore.\Mi Gu, you and Shao Xing take care of that person at Fox Den.\I'll go hide for a bit in the Peach Tree Woods.\Aunt, he is the second prince of the Celestial Tribe after all. response:	You can't just keep hiding from him.
context: Why should I suffer like that?\Aunt, if you don't want to marry, then don't.\Why are you cursing yourself?\I won't talk about this anymore.\Mi Gu, you and Shao Xing take care of that person at Fox Den.\I'll go hide for a bit in the Peach Tree Woods.\Aunt, he is the second prince of the Celestial Tribe after all.\You can't just keep hiding from him. response:	You're not going to do as I say?
context: Aunt, if you don't want to marry, then don't.\Why are you cursing yourself?\I won't talk about this anymore.\Mi Gu, you and Shao Xing take care of that person at Fox Den.\I'll go hide for a bit in the Peach Tree Woods.\Aunt, he is the second prince of the Celestial Tribe after all.\You can't just keep hiding from him.\You're not going to do as I say? response:	I wouldn't dare.
context: Why are you cursing yourself?\I won't talk about this anymore.\Mi Gu, you and Shao Xing take care of that person at Fox Den.\I'll go hide for a bit in the Peach Tree Woods.\Aunt, he is the second prince of the Celestial Tribe after all.\You can't just keep hiding from him.\You're not going to do as I say?\I wouldn't dare. response:	Then hurry and go.
context: I won't talk about this anymore.\Mi Gu, you and Shao Xing take care of that person at Fox Den.\I'll go hide for a bit in the Peach Tree Woods.\Aunt, he is the second prince of the Celestial Tribe after all.\You can't just keep hiding from him.\You're not going to do as I say?\I wouldn't dare.\Then hurry and go. response:	When he leaves, come find me in the Peach Tree Woods.
context: Mi Gu, you and Shao Xing take care of that person at Fox Den.\I'll go hide for a bit in the Peach Tree Woods.\Aunt, he is the second prince of the Celestial Tribe after all.\You can't just keep hiding from him.\You're not going to do as I say?\I wouldn't dare.\Then hurry and go.\When he leaves, come find me in the Peach Tree Woods. response:	Okay.
context: I'll go hide for a bit in the Peach Tree Woods.\Aunt, he is the second prince of the Celestial Tribe after all.\You can't just keep hiding from him.\You're not going to do as I say?\I wouldn't dare.\Then hurry and go.\When he leaves, come find me in the Peach Tree Woods.\Okay. response:	What?
context: Aunt, he is the second prince of the Celestial Tribe after all.\You can't just keep hiding from him.\You're not going to do as I say?\I wouldn't dare.\Then hurry and go.\When he leaves, come find me in the Peach Tree Woods.\Okay.\What? response:	She's gone to mountain pass to train again?
context: You can't just keep hiding from him.\You're not going to do as I say?\I wouldn't dare.\Then hurry and go.\When he leaves, come find me in the Peach Tree Woods.\Okay.\What?\She's gone to mountain pass to train again? response:	Yes, Your Highness.
context: You're not going to do as I say?\I wouldn't dare.\Then hurry and go.\When he leaves, come find me in the Peach Tree Woods.\Okay.\What?\She's gone to mountain pass to train again?\Yes, Your Highness. response:	Doesn't she know that I came?
