context: And you... response:	When I felt the strongest for you, you knocked me down.
context: He is so drunk. I think I should take him to the Medicine King's manor for a look.\There's no need. I've been drinking for dozens of millennia.\I'm almost an expert.\The wine A-Li just drank was fermented from divine fruit.\It is not intoxicating, no matter how much one drinks.\But I'm still worried about any mishaps.\He is boy. He doesn't need to be so pampered and spoiled.\Listen to me. Take him back and let him sleep. response:	He'll wake up in six hours.
context: There's no need. I've been drinking for dozens of millennia.\I'm almost an expert.\The wine A-Li just drank was fermented from divine fruit.\It is not intoxicating, no matter how much one drinks.\But I'm still worried about any mishaps.\He is boy. He doesn't need to be so pampered and spoiled.\Listen to me. Take him back and let him sleep.\He'll wake up in six hours. response:	Yes.
context: I'm almost an expert.\The wine A-Li just drank was fermented from divine fruit.\It is not intoxicating, no matter how much one drinks.\But I'm still worried about any mishaps.\He is boy. He doesn't need to be so pampered and spoiled.\Listen to me. Take him back and let him sleep.\He'll wake up in six hours.\Yes. response:	Please enjoy.
context: The wine A-Li just drank was fermented from divine fruit.\It is not intoxicating, no matter how much one drinks.\But I'm still worried about any mishaps.\He is boy. He doesn't need to be so pampered and spoiled.\Listen to me. Take him back and let him sleep.\He'll wake up in six hours.\Yes.\Please enjoy. response:	This young maid is still so devoted to her old mistress.
context: It is not intoxicating, no matter how much one drinks.\But I'm still worried about any mishaps.\He is boy. He doesn't need to be so pampered and spoiled.\Listen to me. Take him back and let him sleep.\He'll wake up in six hours.\Yes.\Please enjoy.\This young maid is still so devoted to her old mistress. response:	Hasn't her old mistress been gone for 300 years now?
context: But I'm still worried about any mishaps.\He is boy. He doesn't need to be so pampered and spoiled.\Listen to me. Take him back and let him sleep.\He'll wake up in six hours.\Yes.\Please enjoy.\This young maid is still so devoted to her old mistress.\Hasn't her old mistress been gone for 300 years now? response:	High Goddess, I do not know much about Xiwu Palace.
context: He is boy. He doesn't need to be so pampered and spoiled.\Listen to me. Take him back and let him sleep.\He'll wake up in six hours.\Yes.\Please enjoy.\This young maid is still so devoted to her old mistress.\Hasn't her old mistress been gone for 300 years now?\High Goddess, I do not know much about Xiwu Palace. response:	Do you not all know what happens in the Crown Prince's palace?
context: Listen to me. Take him back and let him sleep.\He'll wake up in six hours.\Yes.\Please enjoy.\This young maid is still so devoted to her old mistress.\Hasn't her old mistress been gone for 300 years now?\High Goddess, I do not know much about Xiwu Palace.\Do you not all know what happens in the Crown Prince's palace? response:	I only heard that something happened in Xiwu Palace.
context: He'll wake up in six hours.\Yes.\Please enjoy.\This young maid is still so devoted to her old mistress.\Hasn't her old mistress been gone for 300 years now?\High Goddess, I do not know much about Xiwu Palace.\Do you not all know what happens in the Crown Prince's palace?\I only heard that something happened in Xiwu Palace. response:	The palace maids and guards at the time
context: Yes.\Please enjoy.\This young maid is still so devoted to her old mistress.\Hasn't her old mistress been gone for 300 years now?\High Goddess, I do not know much about Xiwu Palace.\Do you not all know what happens in the Crown Prince's palace?\I only heard that something happened in Xiwu Palace.\The palace maids and guards at the time response:	were demoted to the lower realm's Deity Mountain by the Heavenly Lord.
context: Please enjoy.\This young maid is still so devoted to her old mistress.\Hasn't her old mistress been gone for 300 years now?\High Goddess, I do not know much about Xiwu Palace.\Do you not all know what happens in the Crown Prince's palace?\I only heard that something happened in Xiwu Palace.\The palace maids and guards at the time\were demoted to the lower realm's Deity Mountain by the Heavenly Lord. response:	It seems the Heavenly Lord has been very thorough
context: This young maid is still so devoted to her old mistress.\Hasn't her old mistress been gone for 300 years now?\High Goddess, I do not know much about Xiwu Palace.\Do you not all know what happens in the Crown Prince's palace?\I only heard that something happened in Xiwu Palace.\The palace maids and guards at the time\were demoted to the lower realm's Deity Mountain by the Heavenly Lord.\It seems the Heavenly Lord has been very thorough response:	in covering up this incident.
context: Hasn't her old mistress been gone for 300 years now?\High Goddess, I do not know much about Xiwu Palace.\Do you not all know what happens in the Crown Prince's palace?\I only heard that something happened in Xiwu Palace.\The palace maids and guards at the time\were demoted to the lower realm's Deity Mountain by the Heavenly Lord.\It seems the Heavenly Lord has been very thorough\in covering up this incident. response:	He even replaced the palace maids.
context: High Goddess, I do not know much about Xiwu Palace.\Do you not all know what happens in the Crown Prince's palace?\I only heard that something happened in Xiwu Palace.\The palace maids and guards at the time\were demoted to the lower realm's Deity Mountain by the Heavenly Lord.\It seems the Heavenly Lord has been very thorough\in covering up this incident.\He even replaced the palace maids. response:	No wonder why when I was in Qing Qiu, I only heard the Ye Hua doted on Su Jin
context: Do you not all know what happens in the Crown Prince's palace?\I only heard that something happened in Xiwu Palace.\The palace maids and guards at the time\were demoted to the lower realm's Deity Mountain by the Heavenly Lord.\It seems the Heavenly Lord has been very thorough\in covering up this incident.\He even replaced the palace maids.\No wonder why when I was in Qing Qiu, I only heard the Ye Hua doted on Su Jin response:	and that he had no other consorts in his palace.
context: I only heard that something happened in Xiwu Palace.\The palace maids and guards at the time\were demoted to the lower realm's Deity Mountain by the Heavenly Lord.\It seems the Heavenly Lord has been very thorough\in covering up this incident.\He even replaced the palace maids.\No wonder why when I was in Qing Qiu, I only heard the Ye Hua doted on Su Jin\and that he had no other consorts in his palace. response:	Thus, I naturally thought that Su Jin was the mother of his only son.
