context: Since you understand me, you should know response:	everything I have done is so I can marry Ye Hua.
context: Your second uncle's mistakes are tragically clear for you to see.\I know.\I do feel guilty for forcing you and Bai Qian of Qing Qiu together.\Now, it seems I dug the hole myself and buried you in it.\Third Uncle.\Even without Bai Qian of Qing Qiu there would be Qing Qian of Bai Qiu.\From the day I was born, I was named the next Heavenly Lord.\With or without this engagement response:	Heavenly Lord would not allow me to marry a mortal.
context: I know.\I do feel guilty for forcing you and Bai Qian of Qing Qiu together.\Now, it seems I dug the hole myself and buried you in it.\Third Uncle.\Even without Bai Qian of Qing Qiu there would be Qing Qian of Bai Qiu.\From the day I was born, I was named the next Heavenly Lord.\With or without this engagement\Heavenly Lord would not allow me to marry a mortal. response:	That is correct.
context: I do feel guilty for forcing you and Bai Qian of Qing Qiu together.\Now, it seems I dug the hole myself and buried you in it.\Third Uncle.\Even without Bai Qian of Qing Qiu there would be Qing Qian of Bai Qiu.\From the day I was born, I was named the next Heavenly Lord.\With or without this engagement\Heavenly Lord would not allow me to marry a mortal.\That is correct. response:	Your second uncle's snake was lucky to leave with her life.
context: Now, it seems I dug the hole myself and buried you in it.\Third Uncle.\Even without Bai Qian of Qing Qiu there would be Qing Qian of Bai Qiu.\From the day I was born, I was named the next Heavenly Lord.\With or without this engagement\Heavenly Lord would not allow me to marry a mortal.\That is correct.\Your second uncle's snake was lucky to leave with her life. response:	If Father were to know you have also fallen in love with a mortal
context: Third Uncle.\Even without Bai Qian of Qing Qiu there would be Qing Qian of Bai Qiu.\From the day I was born, I was named the next Heavenly Lord.\With or without this engagement\Heavenly Lord would not allow me to marry a mortal.\That is correct.\Your second uncle's snake was lucky to leave with her life.\If Father were to know you have also fallen in love with a mortal response:	your beloved will be put in a situation where she can neither live nor die.
context: Even without Bai Qian of Qing Qiu there would be Qing Qian of Bai Qiu.\From the day I was born, I was named the next Heavenly Lord.\With or without this engagement\Heavenly Lord would not allow me to marry a mortal.\That is correct.\Your second uncle's snake was lucky to leave with her life.\If Father were to know you have also fallen in love with a mortal\your beloved will be put in a situation where she can neither live nor die. response:	Let's not talk about this now. I must return to Mount Junji.
context: From the day I was born, I was named the next Heavenly Lord.\With or without this engagement\Heavenly Lord would not allow me to marry a mortal.\That is correct.\Your second uncle's snake was lucky to leave with her life.\If Father were to know you have also fallen in love with a mortal\your beloved will be put in a situation where she can neither live nor die.\Let's not talk about this now. I must return to Mount Junji. response:	You absolutely must not.
context: With or without this engagement\Heavenly Lord would not allow me to marry a mortal.\That is correct.\Your second uncle's snake was lucky to leave with her life.\If Father were to know you have also fallen in love with a mortal\your beloved will be put in a situation where she can neither live nor die.\Let's not talk about this now. I must return to Mount Junji.\You absolutely must not. response:	Father has told us to go with Su Jin to worship her ancestors.
context: Heavenly Lord would not allow me to marry a mortal.\That is correct.\Your second uncle's snake was lucky to leave with her life.\If Father were to know you have also fallen in love with a mortal\your beloved will be put in a situation where she can neither live nor die.\Let's not talk about this now. I must return to Mount Junji.\You absolutely must not.\Father has told us to go with Su Jin to worship her ancestors. response:	The whole palace is making preparations. If you leave, you will be found out.
context: That is correct.\Your second uncle's snake was lucky to leave with her life.\If Father were to know you have also fallen in love with a mortal\your beloved will be put in a situation where she can neither live nor die.\Let's not talk about this now. I must return to Mount Junji.\You absolutely must not.\Father has told us to go with Su Jin to worship her ancestors.\The whole palace is making preparations. If you leave, you will be found out. response:	But Su Su does not know the situation.
context: Your second uncle's snake was lucky to leave with her life.\If Father were to know you have also fallen in love with a mortal\your beloved will be put in a situation where she can neither live nor die.\Let's not talk about this now. I must return to Mount Junji.\You absolutely must not.\Father has told us to go with Su Jin to worship her ancestors.\The whole palace is making preparations. If you leave, you will be found out.\But Su Su does not know the situation. response:	I suddenly disappeared. She must be mad with worry.
context: If Father were to know you have also fallen in love with a mortal\your beloved will be put in a situation where she can neither live nor die.\Let's not talk about this now. I must return to Mount Junji.\You absolutely must not.\Father has told us to go with Su Jin to worship her ancestors.\The whole palace is making preparations. If you leave, you will be found out.\But Su Su does not know the situation.\I suddenly disappeared. She must be mad with worry. response:	Anxious just like this?
context: your beloved will be put in a situation where she can neither live nor die.\Let's not talk about this now. I must return to Mount Junji.\You absolutely must not.\Father has told us to go with Su Jin to worship her ancestors.\The whole palace is making preparations. If you leave, you will be found out.\But Su Su does not know the situation.\I suddenly disappeared. She must be mad with worry.\Anxious just like this? response:	What will she do when she faces Heavenly Lord?
context: Let's not talk about this now. I must return to Mount Junji.\You absolutely must not.\Father has told us to go with Su Jin to worship her ancestors.\The whole palace is making preparations. If you leave, you will be found out.\But Su Su does not know the situation.\I suddenly disappeared. She must be mad with worry.\Anxious just like this?\What will she do when she faces Heavenly Lord? response:	But...
context: You absolutely must not.\Father has told us to go with Su Jin to worship her ancestors.\The whole palace is making preparations. If you leave, you will be found out.\But Su Su does not know the situation.\I suddenly disappeared. She must be mad with worry.\Anxious just like this?\What will she do when she faces Heavenly Lord?\But... response:	Someone is here.
